"","HGNC_Symbol","p1Pve","p1Nve","p2Pve","p2Nve","p3Pve","p3Nve","control1","control2"
"5417","LINC00951",86.41854,9.03124,89.12866,51.152843,132.91731,36.106537,112.67461,12.01646
"5418","RNASEH1P2",3554.973,75.022675,2871.6975,1123.748,3449.7644,622.43085,7536.479,76.26674
"5419","FAM3C2P",1955.5674,26.65738,2557.9277,593.5514,4130.1953,281.646,27844.914,139.36118
"5420","TLR4",30.944479,68.17148,79.383995,848.74146,430.3014,960.62164,45.694145,12.409531
"5421","MTCO3P28",31530.238,2074.2053,34650.633,12674.611,147024.7,10484.687,58903.062,2765.2407
"5422","GABPB1",73.15284,4.9999995,73.76971,30.692617,130.64668,22.73836,636.62274,4.9999995
"5423","CMPK1P1",117.76332,4.9999995,237.49356,91.22826,244.10715,20.924839,178.49197,4.9999995
"5424","SETP4",43.45531,4.9999995,267.90637,24.161926,124.502884,30.382437,178.70992,27.216225
"5425","RPL34P1",54284.49,406.15778,33975.316,6894.382,81267.26,4614.7847,90040.49,2864.5876
"5426","RPL37P4",16625.307,201.49213,11712.321,2698.3887,16336.523,1221.3323,21774.785,859.7976
"5427","HOXD8",27.768976,4.9999995,22.733107,32.688854,24.695158,6.0003705,47.314217,4.9999995
"5428","MYT1L-AS1",95.81794,4.9999995,89.73722,31.768925,173.5593,28.881374,145.97351,6.481472
"5429","FAM8A4P",21.067976,7.4592295,19.079185,29.508,71.5402,19.06129,41.281513,4.9999995
"5430","TRIM22",58.842556,11.36734,65.63826,30.273876,87.67102,21.466578,99.50649,23.561378
"5431","RN7SKP183",182.31087,14.46904,145.85782,53.81714,159.09772,48.057888,307.50525,16.458479
"5432","CCDC39-AS1",33.982643,4.9999995,30.847141,17.885872,49.748955,18.056168,66.6124,4.9999995
"5433","SINHCAFP2",42.153587,5.395576,152.266,295.4023,160.42293,14.413409,132.00418,20.027994
"5434","METTL15",252.28914,9.572377,387.88556,111.132675,553.80035,58.416046,697.0263,9.715385
"5435","EI24P4",668.8496,29.305622,962.9766,350.56125,948.2144,171.30931,1025.6401,13.579939
