ProbeName,[149PE+](raw),[149PE-](raw),[225PE+](raw),[225PE-](raw),[320PE+](raw),[320PE-](raw),[Control_1](raw),[Control_2](raw),GeneSymbol
ASHG19A3A034497,1418.238,121.644,1962.3425,655.2557,3122.2302,558.1252,3309.8818,120.10724,RP4-736H5.1
ASHG19A3A052501,4130.0615,119.03222,6864.5405,1572.8792,10031.4,705.8383,11235.675,90.0943,CTA-215D11.4
ASHG19A3A031765,679.7068,10.064421,111.91071,64.091,410.53873,38.460712,641.25726,7.692114,
ASHG19A3L0002221,53.65885,4.9999995,38.86093,25.005848,90.3589,14.210879,46.64844,4.9999995,lincRNA-RCL1
ASHG19A3A044342,422885.9,76398.984,368231,203567.69,492146.94,181293.55,494993.94,165746.98,RPL13AP5
ASHG19A3A038577,45.203693,10.34338,50.12984,27.67,73.130554,14.940187,71.295364,4.9999995,
ASHG19A3A037714,757.88794,18.363201,1994.7777,165.74771,971.42755,68.09734,1923.2789,13.433681,
ASHG19A3A051881,1542.8112,77.4275,710.1632,361.7748,4141.4536,305.70972,2070.8228,265.05255,AF245314
ASHG19A3A010495,27.260925,6.353753,37.451527,27.9358,36.86907,10.99523,56.269398,5.1452656,
ASHG19A3A037222,38.315197,5.86258,34.553516,18.078442,27.992199,12.317931,58.416973,12.82906,RP11-535I8.1
ASHG19A3A051221,68.20028,33.21948,77.424934,62.41692,280.2107,34.256077,241.68636,15.309119,P775P
ASHG19A3A026081,45.439156,4.9999995,59.71301,40.20599,125.76374,15.41909,52.768333,4.9999995,RP11-538D9.2
ASHG19A3A026081,45.439156,4.9999995,59.71301,40.20599,125.76374,15.41909,52.768333,4.9999995,RP11-538D9.2
ASHG19A3A039116,61438.754,249.12381,28528.297,3620.8772,29866.873,1580.4635,51213.027,442.4798,
ASHG19A3A019210,150.28387,29.239124,377.81616,195.0942,279.73672,102.53798,257.4341,24.780756,AP000688.11
ASHG19A3A019210,150.28387,29.239124,377.81616,195.0942,279.73672,102.53798,257.4341,24.780756,AP000688.11
CUST_236_PI426073487,371.25345,30.617641,519.7586,223.38309,568.54083,94.98324,663.9393,54.85438,uc.238
ASHG19A3A028813,15901.653,125.9929,5490.7104,1151.5216,6573.263,1421.6603,44642.902,1070.2522,RP11-215P8.3
ASHG19A3A028898,402.9937,22.273743,447.61606,126.808945,818.1945,113.38689,357.86334,37.838604,VTRNA1-1
